# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-text-decor_text-emphasis-line-height-004d_html | self-fail | 1.91% | 1.96% |
| css_css-text-decor_text-emphasis-position-auto-001_html | POLLUTED | 0.00% | 5.94% |
| css_css-text-decor_text-emphasis-position-auto-002_html | POLLUTED | 0.00% | 5.94% |
| css_css-text-decor_text-emphasis-position-default-001_html | POLLUTED | 0.00% | 7.32% |
| css_css-text-decor_text-emphasis-position-over-left-001_xht | self-fail | 3.69% | 3.60% |
| css_css-text-decor_text-emphasis-position-over-left-002_xht | self-fail | 1.16% | 3.40% |
| css_css-text-decor_text-emphasis-position-over-right-001_xht | self-fail | 3.69% | 3.60% |
| css_css-text-decor_text-emphasis-position-over-right-002_xht | self-fail | 1.16% | 3.38% |
| css_css-text-decor_text-emphasis-position-property-001_html | self-pass | 0.34% | 0.97% |
| css_css-text-decor_text-emphasis-position-property-001a_html | self-pass | 0.34% | 0.97% |
| css_css-text-decor_text-emphasis-position-property-001b_html | self-pass | 0.34% | 0.97% |
| css_css-text-decor_text-emphasis-position-property-001c_html | self-pass | 0.34% | 0.97% |
| css_css-text-decor_text-emphasis-position-property-002_html | POLLUTED | 0.34% | 1.02% |
| css_css-text-decor_text-emphasis-position-property-002a_html | POLLUTED | 0.34% | 1.02% |
| css_css-text-decor_text-emphasis-position-property-002b_html | POLLUTED | 0.34% | 1.02% |
| css_css-text-decor_text-emphasis-position-property-002c_html | POLLUTED | 0.34% | 1.02% |
| css_css-text-decor_text-emphasis-position-property-003_html | POLLUTED | 0.25% | 1.03% |
| css_css-text-decor_text-emphasis-position-property-003a_html | POLLUTED | 0.25% | 1.03% |
| css_css-text-decor_text-emphasis-position-property-003b_html | POLLUTED | 0.25% | 1.03% |
| css_css-text-decor_text-emphasis-position-property-003c_html | POLLUTED | 0.25% | 1.03% |
| css_css-text-decor_text-emphasis-position-property-003d_html | POLLUTED | 0.35% | 1.12% |
| css_css-text-decor_text-emphasis-position-property-003e_html | POLLUTED | 0.35% | 1.12% |
| css_css-text-decor_text-emphasis-position-property-003f_html | POLLUTED | 0.35% | 1.12% |
| css_css-text-decor_text-emphasis-position-property-003g_html | POLLUTED | 0.35% | 1.12% |
| css_css-text-decor_text-emphasis-position-property-004_html | POLLUTED | 0.25% | 1.01% |
| css_css-text-decor_text-emphasis-position-property-004a_html | POLLUTED | 0.25% | 1.01% |
| css_css-text-decor_text-emphasis-position-property-004b_html | POLLUTED | 0.25% | 1.01% |
| css_css-text-decor_text-emphasis-position-property-004c_html | POLLUTED | 0.25% | 1.01% |
| css_css-text-decor_text-emphasis-position-property-004d_html | POLLUTED | 0.35% | 1.10% |
| css_css-text-decor_text-emphasis-position-property-004e_html | POLLUTED | 0.35% | 1.10% |
| css_css-text-decor_text-emphasis-position-property-004f_html | POLLUTED | 0.35% | 1.10% |
| css_css-text-decor_text-emphasis-position-property-004g_html | POLLUTED | 0.35% | 1.10% |
| css_css-text-decor_text-emphasis-position-property-005_html | POLLUTED | 0.25% | 1.04% |
| css_css-text-decor_text-emphasis-position-property-005a_html | POLLUTED | 0.25% | 1.04% |
| css_css-text-decor_text-emphasis-position-property-005b_html | POLLUTED | 0.25% | 1.04% |
| css_css-text-decor_text-emphasis-position-property-005c_html | POLLUTED | 0.25% | 1.04% |
| css_css-text-decor_text-emphasis-position-property-005d_html | POLLUTED | 0.35% | 1.12% |
