# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-fonts_font-size-adjust-014_html | POLLUTED | 0.00% | 4.19% |
| css_css-fonts_font-size-adjust-ic-height_html | POLLUTED | 0.00% | 12.61% |
| css_css-fonts_font-size-adjust-metrics-override_html | self-pass | 0.48% | 0.48% |
| css_css-fonts_font-size-adjust-order-001_html | POLLUTED | 0.33% | 17.72% |
| css_css-fonts_font-size-adjust-reload_html | self-pass | 0.01% | 0.31% |
| css_css-fonts_font-size-adjust-text-orientation_html | self-pass | 0.00% | 0.11% |
| css_css-fonts_font-size-adjust-units-001_html | self-fail | 5.52% | 5.39% |
| css_css-fonts_font-size-adjust-zero-1_html | self-pass | 0.11% | 0.22% |
| css_css-fonts_font-size-adjust-zero-2_html | self-pass | 0.04% | 0.23% |
| css_css-fonts_font-size-monospace-adjust_html | self-pass | 0.08% | 0.61% |
| css_css-fonts_font-size-xxx-large_html | POLLUTED | 0.00% | 1.12% |
| css_css-fonts_font-size-zero-1_html | self-pass | 0.10% | 0.18% |
| css_css-fonts_font-size-zero-2_html | self-pass | 0.00% | 0.19% |
| css_css-fonts_font-size-zero-3_html | self-fail | 32.67% | 33.50% |
| css_css-fonts_font-stretch-01_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-02_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-03_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-04_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-05_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-06_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-07_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-08_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-09_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-10_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-11_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-12_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-13_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-14_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-15_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-16_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-17_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-stretch-18_html | self-pass | 0.00% | 0.93% |
| css_css-fonts_font-synthesis-01_html | POLLUTED | 0.16% | 2.55% |
| css_css-fonts_font-synthesis-02_html | POLLUTED | 0.16% | 2.55% |
| css_css-fonts_font-synthesis-03_html | POLLUTED | 0.16% | 2.60% |
| css_css-fonts_font-synthesis-04_html | POLLUTED | 0.16% | 2.60% |
| css_css-fonts_font-synthesis-05_html | POLLUTED | 0.08% | 1.25% |
| css_css-fonts_font-synthesis-06_html | self-pass | 0.00% | 0.97% |
| css_css-fonts_font-synthesis-07_html | POLLUTED | 0.00% | 1.00% |
| css_css-fonts_font-synthesis-08_html | POLLUTED | 0.00% | 2.77% |
| css_css-fonts_font-synthesis-position-001_html | self-fail | 4.12% | 4.84% |
| css_css-fonts_font-synthesis-small-caps-first-letter_html | POLLUTED | 0.21% | 2.51% |
| css_css-fonts_font-synthesis-small-caps-first-line_html | self-fail | 0.55% | 3.02% |
| css_css-fonts_font-synthesis-small-caps-not-applied_html | POLLUTED | 0.17% | 1.86% |
| css_css-fonts_font-synthesis-small-caps_html | POLLUTED | 0.16% | 2.70% |
| css_css-fonts_font-synthesis-style-binary_html | POLLUTED | 0.17% | 2.58% |
| css_css-fonts_font-synthesis-style-first-letter_html | POLLUTED | 0.09% | 2.08% |
| css_css-fonts_font-synthesis-style-first-line_html | self-fail | 0.55% | 2.91% |
| css_css-fonts_font-synthesis-style-oblique-only_html | POLLUTED | 0.14% | 1.31% |
| css_css-fonts_font-synthesis-style_html | POLLUTED | 0.16% | 2.60% |
| css_css-fonts_font-synthesis-weight-binary_html | POLLUTED | 0.17% | 2.53% |
| css_css-fonts_font-synthesis-weight-first-letter_html | POLLUTED | 0.09% | 2.03% |
| css_css-fonts_font-synthesis-weight-first-line_html | self-fail | 0.55% | 2.87% |
| css_css-fonts_font-synthesis-weight-webfont-bold_html | self-pass | 0.00% | 0.65% |
| css_css-fonts_font-synthesis-weight_html | POLLUTED | 0.16% | 2.55% |
