# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /tmp/oracle-shots-all
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_CSS2_fonts_font-family-invalid-characters-005_xht | POLLUTED | 0.00% | 1.22% |
| css_CSS2_fonts_font-family-invalid-characters-006_xht | POLLUTED | 0.00% | 1.18% |
| css_CSS2_fonts_font-family-rule-001_xht | POLLUTED | 0.00% | 2.33% |
| css_CSS2_linebox_anonymous-inline-inherit-001_html | POLLUTED | 0.00% | 3.86% |
| css_CSS2_linebox_baseline-block-with-overflow-001_html | POLLUTED | 0.00% | 45.09% |
| css_CSS2_linebox_border-padding-bleed-001_xht | self-fail | 2.40% | 9.77% |
| css_CSS2_linebox_empty-inline-002_xht | self-fail | 29.32% | 27.43% |
| css_CSS2_linebox_empty-inline-003_xht | POLLUTED | 0.03% | 1.62% |
| css_CSS2_linebox_iframe-in-block-in-inline_html | POLLUTED | 0.00% | 9.75% |
| css_CSS2_linebox_iframe-in-wrapped-span_html | POLLUTED | 0.00% | 9.75% |
| css_CSS2_linebox_inline-box-001_xht | self-fail | 2.31% | 3.84% |
| css_CSS2_linebox_inline-box-002_xht | self-fail | 3.20% | 4.86% |
| css_CSS2_linebox_inline-formatting-context-001_xht | self-fail | 0.53% | 2.46% |
| css_CSS2_linebox_inline-formatting-context-002_xht | self-fail | 0.72% | 1.13% |
| css_CSS2_linebox_inline-formatting-context-003_xht | POLLUTED | 0.23% | 1.80% |
| css_CSS2_linebox_inline-formatting-context-008_xht | self-fail | 8.18% | 1.82% |
| css_CSS2_linebox_inline-formatting-context-009_xht | self-fail | 6.11% | 2.35% |
| css_CSS2_linebox_inline-formatting-context-011_xht | self-fail | 11.24% | 12.36% |
| css_CSS2_normal-flow_block-formatting-context-height-003_xht | POLLUTED | 0.00% | 1.00% |
| css_CSS2_normal-flow_block-formatting-contexts-001_xht | POLLUTED | 0.34% | 1.70% |
| css_CSS2_normal-flow_block-formatting-contexts-003_xht | self-fail | 0.52% | 2.14% |
| css_CSS2_normal-flow_block-formatting-contexts-004_xht | POLLUTED | 0.00% | 1.22% |
| css_CSS2_normal-flow_block-formatting-contexts-005_xht | POLLUTED | 0.20% | 1.19% |
| css_CSS2_normal-flow_block-formatting-contexts-006_xht | self-pass | 0.00% | 0.99% |
| css_CSS2_normal-flow_block-formatting-contexts-008_xht | POLLUTED | 0.00% | 1.38% |
| css_CSS2_normal-flow_block-formatting-contexts-011_xht | POLLUTED | 0.17% | 1.25% |
| css_CSS2_normal-flow_block-formatting-contexts-015_xht | self-pass | 0.00% | 0.94% |
| css_CSS2_normal-flow_block-in-inline-after-block-in-inline-with-margin-collapse_html | POLLUTED | 0.00% | 2.34% |
| css_CSS2_normal-flow_block-in-inline-align-001_html | self-fail | 1.37% | 1.39% |
| css_CSS2_normal-flow_block-in-inline-align-justify-001_html | self-pass | 0.38% | 0.47% |
| css_CSS2_normal-flow_block-in-inline-align-last-001_html | self-fail | 0.56% | 0.50% |
| css_CSS2_normal-flow_block-in-inline-append-001_xht | self-pass | 0.09% | 0.11% |
| css_css-flexbox_aspect-ratio-intrinsic-size-007_html | self-pass | 0.00% | 0.05% |
| css_css-flexbox_css-flexbox-row_html | self-fail | 1.23% | 2.75% |
| css_css-flexbox_css-flexbox-test1_html | POLLUTED | 0.00% | 2.06% |
| css_css-flexbox_dynamic-baseline-change_html | self-pass | 0.02% | 0.64% |
| css_css-flexbox_dynamic-isize-change-001_html | self-pass | 0.10% | 0.62% |
| css_css-flexbox_empty-flex-box-and-margin-collapsing_html | self-pass | 0.00% | 0.67% |
| css_css-flexbox_fieldset-as-item-overflow_html | self-pass | 0.00% | 0.68% |
| css_css-flexbox_fieldset-baseline-alignment_html | self-pass | 0.28% | 0.48% |
| css_css-flexbox_fixed-table-layout-with-percentage-width-in-flex-item_html | self-fail | 11.20% | 11.25% |
| css_css-flexbox_flex-abspos-inset-cross-size-001_html | self-pass | 0.00% | 0.87% |
| css_css-flexbox_flex-abspos-inset-nested-001_html | self-fail | 8.33% | 0.73% |
| css_css-flexbox_flex-abspos-inset-nested-002_html | self-fail | 18.75% | 0.74% |
| css_css-flexbox_flex-aspect-ratio-content-box-padding-001_html | self-pass | 0.00% | 0.00% |
| css_css-flexbox_flex-aspect-ratio-cross-size-001_html | self-pass | 0.00% | 0.87% |
| css_css-flexbox_flex-aspect-ratio-intrinsic-padding-001_html | self-pass | 0.00% | 0.00% |
| css_css-flexbox_flex-basis-011_html | self-pass | 0.00% | 0.80% |
| css_css-flexbox_flex-child-percent-basis-resize-1_html | self-pass | 0.00% | 0.10% |
| css_css-flexbox_flex-container-max-content-001_html | self-fail | 18.08% | 9.99% |
| css_css-flexbox_flex-container-min-content-001_html | self-fail | 12.80% | 8.81% |
| css_css-flexbox_flex-cross-size-border-box-001_html | self-pass | 0.00% | 0.87% |
| css_css-flexbox_flex-direction-row-vertical_html | self-pass | 0.04% | 0.96% |
| css_css-flexbox_flex-flow-001_html | POLLUTED | 0.00% | 2.02% |
| css_css-flexbox_flex-flow-002_html | POLLUTED | 0.00% | 2.41% |
| css_css-flexbox_flex-flow-007_html | POLLUTED | 0.00% | 2.36% |
| css_css-flexbox_flex-grow-001_xht | self-pass | 0.05% | 0.15% |
| css_css-flexbox_flex-item-content-is-min-width-max-content_html | self-pass | 0.00% | 0.25% |
| css_css-flexbox_flex-item-min-height-min-content-overflow_html | self-pass | 0.00% | 0.84% |
| css_css-flexbox_flex-item-position-relative-001_html | self-pass | 0.00% | 0.00% |
| css_css-flexbox_flex-order-last-baseline-multiple_html | POLLUTED | 0.33% | 2.57% |
| css_css-flexbox_flex-order-last-baseline_html | self-fail | 0.65% | 2.59% |
| css_css-flexbox_flex-order-wrap-reverse-baseline_html | POLLUTED | 0.00% | 2.00% |
| css_css-flexbox_flex-order_html | self-pass | 0.00% | 0.00% |
| css_css-flexbox_flexbox-align-items-center-nested-001_html | self-pass | 0.00% | 0.00% |
| css_css-flexbox_flexbox-align-self-stretch-vert-001_html | self-pass | 0.00% | 0.10% |
| css_css-flexbox_flexbox-align-self-stretch-vert-002_html | self-pass | 0.04% | 0.03% |
| css_css-flexbox_flexbox-anonymous-items-001_html | self-pass | 0.08% | 0.15% |
| css_css-flexbox_flexbox-baseline-align-self-baseline-horiz-001_html | POLLUTED | 0.14% | 17.65% |
| css_css-flexbox_flexbox-baseline-align-self-baseline-vert-001_html | self-fail | 5.07% | 33.04% |
| css_css-flexbox_flexbox-baseline-multi-line-horiz-001_html | self-fail | 0.74% | 0.56% |
| css_css-flexbox_flexbox-baseline-multi-line-horiz-002_html | self-fail | 0.52% | 0.48% |
| css_css-flexbox_flexbox-baseline-multi-line-horiz-003_html | self-fail | 46.75% | 2.77% |
| css_css-flexbox_flexbox-baseline-multi-line-horiz-004_html | self-fail | 47.17% | 1.08% |
