# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-text_i18n_css3-text-line-break-opclns-138_html | self-fail | 0.65% | 1.63% |
| css_css-text_i18n_css3-text-line-break-opclns-139_html | self-fail | 0.65% | 1.60% |
| css_css-text_i18n_css3-text-line-break-opclns-140_html | self-fail | 0.65% | 1.58% |
| css_css-text_i18n_css3-text-line-break-opclns-141_html | self-fail | 0.65% | 1.60% |
| css_css-text_i18n_css3-text-line-break-opclns-142_html | self-fail | 0.65% | 1.58% |
| css_css-text_i18n_css3-text-line-break-opclns-143_html | self-fail | 0.62% | 1.71% |
| css_css-text_i18n_css3-text-line-break-opclns-144_html | self-fail | 0.64% | 1.75% |
| css_css-text_i18n_css3-text-line-break-opclns-145_html | self-fail | 0.60% | 1.69% |
| css_css-text_i18n_css3-text-line-break-opclns-146_html | self-fail | 0.61% | 1.70% |
| css_css-text_i18n_css3-text-line-break-opclns-147_html | self-fail | 0.65% | 1.75% |
| css_css-text_i18n_css3-text-line-break-opclns-148_html | self-fail | 0.62% | 1.71% |
| css_css-text_i18n_css3-text-line-break-opclns-149_html | self-fail | 0.65% | 1.73% |
| css_css-text_i18n_css3-text-line-break-opclns-150_html | self-fail | 0.64% | 1.73% |
| css_css-text_i18n_css3-text-line-break-opclns-151_html | self-fail | 0.65% | 1.76% |
| css_css-text_i18n_css3-text-line-break-opclns-152_html | self-fail | 0.60% | 1.68% |
| css_css-text_i18n_css3-text-line-break-opclns-153_html | self-fail | 0.60% | 1.68% |
| css_css-text_i18n_css3-text-line-break-opclns-155_html | self-fail | 0.67% | 1.58% |
| css_css-text_i18n_css3-text-line-break-opclns-156_html | self-fail | 0.69% | 1.59% |
| css_css-text_i18n_css3-text-line-break-opclns-157_html | self-fail | 0.67% | 1.58% |
| css_css-text_i18n_css3-text-line-break-opclns-158_html | self-fail | 0.68% | 1.59% |
| css_css-text_i18n_css3-text-line-break-opclns-159_html | self-fail | 0.70% | 1.61% |
| css_css-text_i18n_css3-text-line-break-opclns-160_html | self-fail | 0.68% | 1.58% |
| css_css-text_i18n_css3-text-line-break-opclns-161_html | self-fail | 0.67% | 1.57% |
| css_css-text_i18n_css3-text-line-break-opclns-162_html | self-fail | 0.68% | 1.57% |
| css_css-text_i18n_css3-text-line-break-opclns-163_html | self-fail | 0.66% | 1.57% |
