# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_CSS2_backgrounds_background-135_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-137_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-138_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-139_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-141_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-144_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-147_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-150_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-152_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-153_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-154_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-156_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-161_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-163_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-171_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-174_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-177_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-180_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-182_xht | self-pass | 0.00% | 0.96% |
| css_CSS2_backgrounds_background-184_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-185_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-187_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-188_xht | POLLUTED | 0.00% | 1.02% |
