# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: $HOME/work/ZeroWeb/target/reftest-dump
# oracle: $HOME/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-flexbox_flex-align-content-end_html | self-fail | 6.89% | 6.78% |
| css_css-flexbox_flex-align-content-space-around_html | self-fail | 0.60% | 2.04% |
| css_css-flexbox_flex-align-content-space-between_html | POLLUTED | 0.50% | 1.87% |
| css_css-flexbox_flex-align-content-start_html | self-fail | 8.50% | 5.14% |
| css_css-flexbox_flex-aspect-ratio-content-box-padding-001_html | self-pass | 0.00% | 0.00% |
| css_css-flexbox_flex-aspect-ratio-cross-size-001_html | POLLUTED | 0.00% | 17.45% |
| css_css-flexbox_flex-aspect-ratio-cross-size-002_html | self-fail | 2.08% | 3.00% |
| css_css-flexbox_flex-aspect-ratio-img-column-001_html | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-aspect-ratio-img-column-002_html | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-aspect-ratio-img-column-003_html | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-aspect-ratio-img-column-004_html | self-fail | 1.04% | 1.60% |
| css_css-flexbox_flex-aspect-ratio-img-column-005_html | POLLUTED | 0.00% | 2.87% |
| css_css-flexbox_flex-aspect-ratio-img-column-006_html | self-fail | 1.25% | 1.29% |
| css_css-flexbox_flex-aspect-ratio-img-column-007_html | POLLUTED | 0.42% | 1.25% |
| css_css-flexbox_flex-aspect-ratio-img-column-008_html | self-fail | 1.02% | 1.29% |
| css_css-flexbox_flex-aspect-ratio-img-column-009_html | self-fail | 1.67% | 1.71% |
| css_css-flexbox_flex-aspect-ratio-img-column-010_html | self-fail | 4.58% | 4.84% |
| css_css-flexbox_flex-aspect-ratio-img-column-012_html | self-pass | 0.00% | 0.67% |
| css_css-flexbox_flex-aspect-ratio-img-column-013_html | self-fail | 2.08% | 2.72% |
| css_css-flexbox_flex-aspect-ratio-img-column-014_html | self-fail | 2.08% | 2.87% |
| css_css-flexbox_flex-aspect-ratio-img-column-015_html | self-fail | 2.08% | 2.87% |
| css_css-flexbox_flex-aspect-ratio-img-column-016_html | POLLUTED | 0.00% | 2.72% |
| css_css-flexbox_flex-aspect-ratio-img-column-018_html | self-fail | 2.08% | 2.72% |
| css_css-flexbox_flex-aspect-ratio-img-row-001_html | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-aspect-ratio-img-row-002_html | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-aspect-ratio-img-row-003_html | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-aspect-ratio-img-row-004_html | POLLUTED | 0.42% | 1.24% |
| css_css-flexbox_flex-aspect-ratio-img-row-006_html | self-fail | 6.25% | 8.97% |
| css_css-flexbox_flex-aspect-ratio-img-row-007_html | self-pass | 0.00% | 0.67% |
| css_css-flexbox_flex-aspect-ratio-img-row-008_html | self-fail | 2.08% | 2.72% |
| css_css-flexbox_flex-aspect-ratio-img-row-009_html | self-fail | 2.08% | 2.89% |
| css_css-flexbox_flex-aspect-ratio-img-row-010_html | self-fail | 2.08% | 2.87% |
| css_css-flexbox_flex-aspect-ratio-img-row-011_html | self-fail | 2.08% | 2.87% |
| css_css-flexbox_flex-aspect-ratio-img-row-012_html | POLLUTED | 0.00% | 2.72% |
| css_css-flexbox_flex-aspect-ratio-img-row-014_html | POLLUTED | 0.00% | 5.25% |
| css_css-flexbox_flex-aspect-ratio-img-row-015_html | self-fail | 2.08% | 2.72% |
| css_css-flexbox_flex-aspect-ratio-img-row-016_html | self-fail | 2.08% | 2.87% |
| css_css-flexbox_flex-aspect-ratio-img-row-017_html | self-fail | 1.88% | 1.05% |
| css_css-flexbox_flex-aspect-ratio-img-vert-lr_html | POLLUTED | 0.00% | 1.49% |
| css_css-flexbox_flex-aspect-ratio-intrinsic-padding-001_html | self-pass | 0.00% | 0.00% |
| css_css-flexbox_flex-aspect-ratio-percentage-height-stale-width_html | self-pass | 0.08% | 0.08% |
| css_css-flexbox_flex-basis-001_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-basis-002_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-basis-003_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-basis-004_html | self-fail | 0.62% | 1.45% |
| css_css-flexbox_flex-basis-005_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-basis-006_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-basis-007_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-basis-008_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-basis-010_html | self-fail | 8.33% | 9.16% |
| css_css-flexbox_flex-basis-011_html | self-pass | 0.00% | 0.85% |
| css_css-flexbox_flex-basis-012_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-basis-item-margins-001_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-box-wrap_html | POLLUTED | 0.00% | 1.05% |
| css_css-flexbox_flex-child-percent-basis-resize-1_html | self-pass | 0.00% | 0.10% |
| css_css-flexbox_flex-container-margin_html | self-pass | 0.00% | 0.00% |
| css_css-flexbox_flex-container-max-content-001_html | self-fail | 15.28% | 12.81% |
| css_css-flexbox_flex-container-min-content-001_html | self-fail | 10.09% | 10.14% |
| css_css-flexbox_flex-cross-size-border-box-001_html | POLLUTED | 0.00% | 14.28% |
| css_css-flexbox_flex-direction-column-reverse_html | POLLUTED | 0.30% | 3.51% |
| css_css-flexbox_flex-direction-column_html | POLLUTED | 0.30% | 3.32% |
| css_css-flexbox_flex-direction-modify_html | POLLUTED | 0.07% | 11.18% |
| css_css-flexbox_flex-direction-row-reverse_html | self-fail | 0.76% | 11.72% |
| css_css-flexbox_flex-direction-row-vertical_html | self-pass | 0.04% | 0.94% |
| css_css-flexbox_flex-direction-with-element-insert_html | self-fail | 2.36% | 40.96% |
| css_css-flexbox_flex-direction_html | self-fail | 1.32% | 40.34% |
| css_css-flexbox_flex-flow-001_html | POLLUTED | 0.00% | 2.02% |
| css_css-flexbox_flex-flow-002_html | POLLUTED | 0.00% | 2.41% |
| css_css-flexbox_flex-flow-003_html | POLLUTED | 0.00% | 2.41% |
| css_css-flexbox_flex-flow-004_html | POLLUTED | 0.00% | 2.02% |
| css_css-flexbox_flex-flow-005_html | POLLUTED | 0.00% | 2.41% |
| css_css-flexbox_flex-flow-006_html | POLLUTED | 0.00% | 2.41% |
| css_css-flexbox_flex-flow-007_html | POLLUTED | 0.00% | 2.35% |
| css_css-flexbox_flex-flow-008_html | POLLUTED | 0.00% | 2.41% |
| css_css-flexbox_flex-flow-009_html | POLLUTED | 0.00% | 2.41% |
| css_css-flexbox_flex-flow-010_html | POLLUTED | 0.00% | 2.36% |
| css_css-flexbox_flex-flow-011_html | POLLUTED | 0.00% | 2.41% |
| css_css-flexbox_flex-flow-012_html | POLLUTED | 0.00% | 2.41% |
| css_css-flexbox_flex-grow-001_xht | self-pass | 0.10% | 0.00% |
| css_css-flexbox_flex-grow-002_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-grow-003_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-grow-004_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-grow-005_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-grow-006_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-grow-007_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-grow-008_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-grow-009_html | self-fail | 2.08% | 2.74% |
| css_css-flexbox_flex-height-min-content_html | self-fail | 1.46% | 2.25% |
| css_css-flexbox_flex-inline_html | POLLUTED | 0.00% | 1.15% |
| css_css-flexbox_flex-item-and-percentage-abspos_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-item-contains-size-layout-001_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-item-content-is-min-width-max-content_html | self-pass | 0.30% | 0.55% |
| css_css-flexbox_flex-item-max-height-min-content_html | self-fail | 2.08% | 2.76% |
| css_css-flexbox_flex-item-max-width-min-content-002_html | self-fail | 2.08% | 2.72% |
| css_css-flexbox_flex-item-max-width-min-content_html | self-pass | 0.00% | 0.67% |
| css_css-flexbox_flex-item-min-height-min-content-overflow_html | self-pass | 0.00% | 0.84% |
| css_css-flexbox_flex-item-min-height-min-content_html | self-fail | 2.08% | 2.72% |
| css_css-flexbox_flex-item-min-width-min-content_html | self-fail | 2.08% | 2.72% |
| css_css-flexbox_flex-item-position-relative-001_html | self-pass | 0.00% | 0.00% |
| css_css-flexbox_flex-item-transferred-sizes-padding-border-sizing_html | self-fail | 14.25% | 14.92% |
| css_css-flexbox_flex-item-transferred-sizes-padding-content-sizing_html | self-fail | 14.25% | 14.92% |
| css_css-flexbox_flex-item-vertical-align_html | POLLUTED | 0.00% | 7.88% |
| css_css-flexbox_flex-item-z-ordering-001_html | POLLUTED | 0.26% | 3.43% |
| css_css-flexbox_flex-item-z-ordering-002_html | self-fail | 2.08% | 2.89% |
| css_css-flexbox_flex-margin-no-collapse_html | self-pass | 0.00% | 0.79% |
| css_css-flexbox_flex-minimum-height-flex-items-001_xht | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-minimum-height-flex-items-002_xht | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-minimum-height-flex-items-003_xht | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-minimum-height-flex-items-004_xht | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-minimum-height-flex-items-005_xht | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-minimum-height-flex-items-006_xht | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-minimum-height-flex-items-007_xht | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-minimum-height-flex-items-008_xht | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-minimum-height-flex-items-011_xht | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-minimum-height-flex-items-013_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-minimum-height-flex-items-014_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-minimum-height-flex-items-015_html | self-fail | 0.95% | 1.78% |
| css_css-flexbox_flex-minimum-height-flex-items-016_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-minimum-height-flex-items-017_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-minimum-height-flex-items-018_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-minimum-height-flex-items-019_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-minimum-height-flex-items-020_html | POLLUTED | 0.00% | 1.72% |
| css_css-flexbox_flex-minimum-height-flex-items-021_html | POLLUTED | 0.00% | 1.72% |
| css_css-flexbox_flex-minimum-height-flex-items-022_html | self-fail | 2.06% | 2.87% |
| css_css-flexbox_flex-minimum-height-flex-items-023_html | self-fail | 1.04% | 0.72% |
| css_css-flexbox_flex-minimum-height-flex-items-024_html | self-fail | 2.08% | 2.72% |
| css_css-flexbox_flex-minimum-height-flex-items-026_html | POLLUTED | 0.00% | 2.72% |
| css_css-flexbox_flex-minimum-height-flex-items-027_html | self-pass | 0.00% | 0.67% |
| css_css-flexbox_flex-minimum-height-flex-items-028_html | POLLUTED | 0.00% | 2.72% |
| css_css-flexbox_flex-minimum-height-flex-items-029_html | self-fail | 2.08% | 2.72% |
| css_css-flexbox_flex-minimum-height-flex-items-030_html | self-pass | 0.00% | 0.67% |
| css_css-flexbox_flex-minimum-width-flex-items-001_xht | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-minimum-width-flex-items-002_xht | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-minimum-width-flex-items-003_xht | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-minimum-width-flex-items-004_xht | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-minimum-width-flex-items-005_xht | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-minimum-width-flex-items-006_xht | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-minimum-width-flex-items-007_xht | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-minimum-width-flex-items-008_xht | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-minimum-width-flex-items-009_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-minimum-width-flex-items-010_html | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-minimum-width-flex-items-011_html | POLLUTED | 0.00% | 1.72% |
